BatteryBlockName
Chase - Demo Real (CT Default) Standard
Chase - Demo Real (CT Default) - Modified
"Chase - Demo Real (10x10, CT Default) - Modified"
CPAL - Demo - Adult
CPAL - Real - Adult
CPAL - Remember - Adult
CPAL - Delayed - Adult
CPAL - Demo Real - Adult
CPAL - Demo - Pediatric
CPAL - Real - Pediatric
CPAL - Remember - Pediatric
CPAL - Delayed - Pediatric
CPAL - Demo Real - Pediatric
Finger Tapping - Demo
Finger Tapping - Real
Finger Tapping - Demo Real
IDSST - Demo Real - IDSSTM (IDSST Medicines)
IDSST - Demo Real - IDSSTS (IDSST Symbols)
SAT - Demo Real - Adult
FNAME - Fits - Demo Real
FNAME - Seen Letter Match - Demo Real
"Two Back - Learn Demo Real (seamless, CT Default) - Adult"
BPSO - Indoor Outdoor - Demo Real
BPSO - Old Similar New - Demo Real
BPSO - Indoor Outdoor - Demo Real (CT Default)
BPSO - Old Similar New - Demo Real (CT Default)
Portrait Detection - Demo Real - Adult
Portrait Identification - Demo Real - Adult
Portrait One Card Learning - Demo Real (80 trials) - Adult
Portrait One Back - Demo Real - Adult
SART - Demo Real - Adult
